name,housing_type,identification_model,residence_type,district,supply_area,standard_unit,specific_unit,multi_child,newlywed_couple,first_time,youth,sup_elder,elder,institute_recommend,moved_institute,ect,support_amount,second_priority_deposit,application_deposit
해운대 경동리인뷰 2차,084.9773H,2023000257(09),민영,,120.523,1,0,0,0,0,0,0,,0,0,0,76000,,
현대 프라힐스 소사역 더프라임(임의공급 2차),074.8978E,,,,,3,,,,,,,,,,,,,
현대 프라힐스 소사역 더프라임(임의공급 2차),074.9423A,,,,,1,,,,,,,,,,,,,
현대 프라힐스 소사역 더프라임(임의공급 2차),074.9928D,,,,,1,,,,,,,,,,,,,
현대 프라힐스 소사역 더프라임(임의공급 3차),074.8978E,,,,,1,,,,,,,,,,,,,
현대 프라힐스 소사역 더프라임(임의공급 3차),074.9423A,,,,,1,,,,,,,,,,,,,
현대 프라힐스 소사역 더프라임(임의공급 3차),074.9945C,,,,,1,,,,,,,,,,,,,
화곡 더리브 스카이 주상복합아파트 (임의공급 2차),030.2694,,,,,2,,,,,,,,,,,,,
화곡 더리브 스카이 주상복합아파트 (임의공급 2차),033.6442,,,,,3,,,,,,,,,,,,,
화곡 더리브 스카이 주상복합아파트 (임의공급 2차),040.9032,,,,,1,,,,,,,,,,,,,
화곡 더리브 스카이 주상복합아파트 (임의공급 2차),041.8783,,,,,3,,,,,,,,,,,,,
화곡 더리브 스카이 주상복합아파트 (임의공급 2차),050.5169,,,,,3,,,,,,,,,,,,,
화곡 더리브 스카이 주상복합아파트 (임의공급 2차),055.8501,,,,,3,,,,,,,,,,,,,
화곡 더리브 스카이 주상복합아파트 (임의공급 2차),059.0930,,,,,10,,,,,,,,,,,,,
효성해링턴 플레이스 제주,076.1233,2023000078(01),민영,,98.1961,12,0,,,,,,,,,,77280,,
효성해링턴 플레이스 제주,084.9528A,2023000078(02),민영,,108.915,247,0,,,,,,,,,,89020,,
효성해링턴 플레이스 제주,084.9988B,2023000078(03),민영,,109.028,110,0,,,,,,,,,,89110,,
효성해링턴 플레이스 제주,122.3139,2023000078(04),민영,,156.268,56,0,,,,,,,,,,134300,,
힐스테이트 속초,084.1709B,2023000337(02),민영,,110.608,87,84,17,30,15,0,5,,17,0,0,56416,,
힐스테이트 속초,084.2107A,2023000337(01),민영,,109.719,253,245,49,89,44,0,14,,49,0,0,58247,,
힐스테이트 속초,084.5611C,2023000337(03),민영,,110.169,88,84,17,30,15,0,5,,17,0,0,57316,,
힐스테이트 속초,084.8862D,2023000337(04),민영,,110.949,41,39,8,14,7,0,2,,8,0,0,57722,,
힐스테이트 속초,104.1289A,2023000337(05),민영,,137.415,2,2,1,0,0,0,1,,0,0,0,84796,,
